130426,涉县,3,涉县,Shexian,130400,56400,36.58072,113.69183,10524,,1017,101091006,53886,1,she xian,S,SX
130427,磁县,3,磁县,Cixian,130400,56500,36.37392,114.37387,10525,,1017,101091007,53897,1,ci xian,C,CX
130428,肥乡县,3,肥乡,Feixiang,130400,57550,36.54807,114.79998,10526,,1017,101091008,53980,1,fei xiang,F,FX
130429,永年县,3,永年,Yongnian,130400,57150,36.78356,114.48925,10527,,1017,101091009,53895,1,yong nian,Y,YN
130430,邱县,3,邱县,Qiuxian,130400,57450,36.82082,115.17407,10528,,1017,101091010,54820,1,qiu xian,Q,QX
130431,鸡泽县,3,鸡泽,Jize,130400,57350,36.92374,114.8742,10529,,1017,101091011,54640,1,ji ze,J,JZ
130432,广平县,3,广平,Guangping,130400,57650,36.48046,114.94653,10530,,1017,101091012,53899,1,guang ping,G,GP
130433,馆陶县,3,馆陶,Guantao,130400,57750,36.53719,115.29913,10531,,1017,101091013,54809,1,guan tao,G,GT
130434,魏县,3,魏县,Weixian,130400,56800,36.36171,114.93518,10532,,1017,101091014,53896,1,wei xian,W,WX
130435,曲周县,3,曲周,Quzhou,130400,57250,36.77671,114.95196,10533,,1017,101091015,53893,1,qu zhou,Q,QZ
130481,武安市,3,武安,"Wu'an",130400,56300,36.69281,114.20153,10534,,1017,101091016,53890,1,wu an,W,WA
130500,邢台市,2,邢台,Xingtai,130000,54000,37.0682,114.508851,10502,,1017,,,0,xing tai,X,XT
130502,桥东区,3,桥东,Qiaodong,130500,54000,37.06801,114.50725,10502,,1017,,,0,qiao dong,Q,QD
130503,桥西区,3,桥西,Qiaoxi,130500,54000,37.05984,114.46803,10502,,1017,,,0,qiao xi,Q,QX
130521,邢台县,3,邢台,Xingtai,130500,54000,37.0456,114.56575,10502,,1017,101090901,53798,1,xing tai,X,XT
130522,临城县,3,临城,Lincheng,130500,54300,37.43977,114.50387,10503,,1017,101090902,53792,1,lin cheng,L,LC
130523,内丘县,3,内丘,Neiqiu,130500,54200,37.28671,114.51212,10504,,1017,101090904,53798,1,nei qiu,N,NQ
130524,柏乡县,3,柏乡,Baixiang,130500,55450,37.48242,114.69332,10505,,1017,101090905,53785,1,bai xiang,B,BX
130525,隆尧县,3,隆尧,Longyao,130500,55350,37.35351,114.77615,10506,,1017,101090906,53794,1,long yao,L,LY
